2023 end-of-month red meat export reports
These tables provide a further breakdown of red meat exports in six formats: exports by state, exports by destination, by load port across Australia, comparison tables, meat exported via air freight and processed meat exports. All reports in Excel format.
| Title | Month | Fiscal YTD | Calendar YTD | 
| Title | Month | Fiscal YTD | Calendar YTD | 
|---|---|---|---|
| Exports by State of Production | 2303 mesp [26 KB] | 2303 fesp [27 KB] | 2303 cesp [26 KB] | 
| 57 Destination Report | 2303 m57dest [35 KB] | 2303 f57dest [38 KB] | 2303 c57dest [36 KB] | 
| Exports by Load Port | 2303 mlp [21 KB] | 2303 flp [21 KB] | 2303 clp [21 KB] | 
| Comparison Table | - | 2303 fcom [35 KB] | 2303 ccom [34 KB] | 
| Air Freight | 2303 mair [24 KB] | 2303 fair [25 KB] | 2303 cair [25 KB] | 
| Processed Meat Exports | 2303 mf9 [23 KB] | 2303 ff9 [22 KB] | 2303 cf9 [22 KB] | 
| Title | Month | Fiscal YTD | Calendar YTD | 
|---|---|---|---|
| Exports by State of Production | 2302 mesp [26 KB] | 2302 fesp [26 KB] | 2302 cesp [26 KB] | 
| 57 Destination Report | 2302 m57dest [35 KB] | 2302 f57dest [34 KB] | 2302 c57dest [36 KB] | 
| Exports by Load Port | 2302 mlp [21 KB] | 2302 flp [21 KB] | 2302 clp [21 KB] | 
| Comparison Table | - | 2302 fcom [30 KB] | 2302 ccom [34 KB] | 
| Air Freight | 2302 mair [24 KB] | 2302 fair [25 KB] | 2302 cair [24 KB] | 
| Processed Meat Exports | 2302 mf9 [23 KB] | 2302 ff9 [22 KB] | 2302 cf9 [22 KB] | 
| Title | Month | Fiscal YTD | Calendar YTD | 
|---|---|---|---|
| Exports by State of Production | 2301 mesp [26 KB] | 2301 fesp [26 KB] | 2301 cesp [26 KB] | 
| 57 Destination Report | 2301 m57dest [35 KB] | 2301 f57dest [37 KB] | 2301 c57dest [35 KB] | 
| Exports by Load Port | 2301 mlp [21 KB] | 2301 flp [21 KB] | 2301 clp [21 KB] | 
| Comparison Table | - | 2301 fcom [30 KB] | 2301 ccom [32 KB] | 
| Air Freight | 2301 mair [24 KB] | 2301 fair [25 KB] | 2301 cair [24 KB] | 
| Processed Meat Exports | 2301 mf9 [23 KB] | 2301 ff9 [22 KB] | 2301 cf9 [21 KB] |
