2025 end-of-month red meat export reports
These tables provide a further breakdown of red meat exports in six formats: exports by state, exports by destination, by load port across Australia, comparison tables, meat exported via air freight and processed meat exports. All reports in Excel format.
| Title | Month | Fiscal YTD | Calendar YTD | 
|---|---|---|---|
| Exports by State of Production | 2512 mesp [21 KB] | 2512 fesp [22 KB] | 2512 cesp [22 KB] | 
| 57 Destination Report | 2512 m57dest [31 KB] | 2512 f57dest [33 KB] | 2512 c57dest [34 KB] | 
| Exports by Load Port | 2512 mlp [16 KB] | 2512 flp [16 KB] | 2512 clp [16 KB] | 
| Comparison Table |  | 2512 fcom [30 KB] | 2512 ccom [31 KB] | 
| Air Freight | 2512 mair [19 KB] | 2512 fair [20 KB] | 2512 cair [20 KB] | 
| Processed Meat Exports | 2512 mf9 [18 KB] | 2512 ff9 [16 KB] | 2512 cf9 [17 KB] | 
| Title | Month | Fiscal YTD | Calendar YTD | 
|---|---|---|---|
| Exports by State of Production | 2511 mesp [21 KB] | 2511 fesp [22 KB] | 2511 cesp [22 KB] | 
| 57 Destination Report | 2511 m57dest [31 KB] | 2511 f57dest [33 KB] | 2511 c57dest [34 KB] | 
| Exports by Load Port | 2511 mlp [16 KB] | 2511 flp [16 KB] | 2511 clp [16 KB] | 
| Comparison Table |  | 2511 fcom [30 KB] | 2511 ccom [31 KB] | 
| Air Freight | 2511 mair [19 KB] | 2511 fair [20 KB] | 2511 cair [20 KB] | 
| Processed Meat Exports | 2511 mf9 [18 KB] | 2511 ff9 [16 KB] | 2511 cf9 [17 KB] | 
| Title | Month | Fiscal YTD | Calendar YTD | 
|---|---|---|---|
| Exports by State of Production | 2510 mesp [30 KB] | 2510 fesp [30 KB] | 2510 cesp [30 KB] | 
| 57 Destination Report | 2510 m57dest [40 KB] | 2510 f57dest [41 KB] | 2510 c57dest [43 KB] | 
| Exports by Load Port | 2510 mlp [24 KB] | 2510 flp [24 KB] | 2510 clp [24 KB] | 
| Comparison Table |  | 2510 fcom [38 KB] | 2510 ccom [39 KB] | 
| Air Freight | 2510 mair [28 KB] | 2510 fair [28 KB] | 2510 cair [29 KB] | 
| Processed Meat Exports | 2510 mf9 [26 KB] | 2510 ff9 [25 KB] | 2510 cf9 [25 KB] | 
| Title | Month | Fiscal YTD | Calendar YTD | 
|---|---|---|---|
| Exports by State of Production | 2509 mesp [21 KB] | 2509 fesp [21 KB] | 2509 cesp [22 KB] | 
| 57 Destination Report | 2509 m57dest [31 KB] | 2509 f57dest [33 KB] | 2509 c57dest [34 KB] | 
| Exports by Load Port | 2509 mlp [16 KB] | 2509 flp [16 KB] | 2509 clp [16 KB] | 
| Comparison Table |  | 2509 fcom [30 KB] | 2509 ccom [31 KB] | 
| Air Freight | 2509 mair [19 KB] | 2509 fair [20 KB] | 2509 cair [20 KB] | 
| Processed Meat Exports | 2509 mf9 [18 KB] | 2509 ff9 [16 KB] | 2509 cf9 [17 KB] | 
| Title | Month | Fiscal YTD | Calendar YTD | 
|---|---|---|---|
| Exports by State of Production | 2508 mesp [29 KB] | 2508 fesp [29 KB] | 2508 cesp [30 KB] | 
| 57 Destination Report | 2508 m57dest [39 KB] | 2508 f57dest [40 KB] | 2508 c57dest [42 KB] | 
| Exports by Load Port | 2508 mlp [24 KB] | 2508 flp [24 KB] | 2508 clp [24 KB] | 
| Comparison Table |  | 2508 fcom [37 KB] | 2508 ccom [39 KB] | 
| Air Freight | 2508 mair [27 KB] | 2508 fair [28 KB] | 2508 cair [28 KB] | 
| Processed Meat Exports | 2508 mf9 [26 KB] | 2508 ff9 [25 KB] | 2508 cf9 [25 KB] | 
| Title | Month | Fiscal YTD | Calendar YTD | 
|---|---|---|---|
| Exports by State of Production | 2507 mesp [21 KB] | 2507 fesp [22 KB] | 2507 cesp [23 KB] | 
| 57 Destination Report | 2507 m57dest [31 KB] | 2507 f57dest [35 KB] | 2507 c57dest [34 KB] | 
| Exports by Load Port | 2507 mlp [16 KB] | 2507 flp [16 KB] | 2507 clp [16 KB] | 
| Comparison Table |  | 2507 fcom [31 KB] | 2507 ccom [31 KB] | 
| Air Freight | 2507 mair [20 KB] | 2507 fair [21 KB] | 2507 cair [21 KB] | 
| Processed Meat Exports | 2507 mf9 [19 KB] | 2507 ff9 [17 KB] | 2507 cf9 [17 KB] | 
| Title | Month | Fiscal YTD | Calendar YTD | 
|---|---|---|---|
